company,year,average
RS112,2014,709.0
RS112,2013,706.0
RS113,2020,310.0
RS113,2019,309.0
RS113,2018,302.0
RS113,2017,292.0
RS113,2016,291.0
RS113,2015,288.0
RS113,2014,268.0
RS113,2013,266.0
RS212,2021,978.0
RS212,2020,906.0
RS212,2019,823.0
RS212,2018,781.0
RS212,2017,720.0
RS212,2016,657.0
RS212,2015,611.0
RS212,2014,572.0
RS212,2013,535.0
RS214,2021,998.0
RS214,2020,936.0
RS214,2019,818.0
RS214,2018,760.0
RS214,2017,743.0
RS214,2016,717.0
RS214,2015,685.0
RS214,2014,671.0
RS214,2013,635.0
